pais_iso,pais,indicador_code,indicador,anio,valor
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1984,4.76
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1983,5.84
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1982,6.52
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1981,7.37
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1980,6.48
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1979,6.33
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1978,5.72
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1977,7.33
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1976,5.92
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1975,5.98
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1974,6.29
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1973,5.71
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1972,6.84
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1971,6.61
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1970,4.74
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1969,6.4
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1968,5.4
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1967,5.0
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1966,4.99
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1965,4.15
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1964,5.56
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1963,7.89
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1962,9.38
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1961,5.99
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1960,7.6
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),2023,-3.2
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),2022,-0.63
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),2021,1.36
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),2020,0.7
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),2019,-0.78
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),2018,-5.16
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),2017,-4.84
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),2016,-2.71
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),2015,-2.96
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),2014,-1.74
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),2013,-2.38
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),2012,-0.39
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),2011,-1.01
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),2010,-0.38
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),2009,2.18
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),2008,1.5
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),2007,2.1
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),2006,2.79
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),2005,2.65
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),2004,1.95
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),2003,6.38
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),2002,8.97
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),2001,-1.41
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),2000,-3.16
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),1999,-4.21
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),1998,-4.84
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),1997,-4.14
